fixture_id,a_home,a_away
587329,-3.632235,-3.9806263
587330,-4.2457805,-4.435961
587331,-3.540984,-4.8320932
587332,-4.058109,-4.1865625
587333,-4.250796,-3.66103
587334,-4.845,-3.3035076
587335,-3.9494157,-3.7759068
587336,-4.1267757,-4.4363313
587337,-4.486441,-3.2927492
587338,-3.2716093,-4.595617
587339,-3.5494146,-4.6173477
587340,-4.1206503,-4.53263
587341,-3.7746804,-4.6545205
587342,-3.7607336,-4.4438515
587343,-4.391663,-4.2563386
587344,-3.7455125,-4.4175644
587345,-4.2023993,-4.460613
587346,-3.7126906,-4.876559
587347,-4.096309,-4.260065
587348,-3.3386734,-4.0852184
587349,-4.408007,-3.621334
587350,-4.0343475,-4.011164
587351,-4.9077396,-3.8715346
587352,-4.6491804,-3.529109
587353,-4.4718804,-4.5355964
587354,-4.768751,-3.9845126
587355,-4.670402,-4.046995
587356,-3.559689,-4.211732
587357,-3.7371645,-4.2471857
587358,-3.613557,-4.7737455
587359,-3.8367524,-4.382424
587360,-4.559865,-4.500588
587361,-3.6878426,-4.8142414
587362,-4.392801,-4.8754673
587363,-4.474144,-4.83191
587364,-4.0345464,-4.4581113
587365,-4.1111836,-4.355462
587366,-3.5778246,-4.553621
587367,-4.4540825,-4.4120946
587368,-3.8659284,-4.2370315
587369,-4.7954316,-3.587922
587370,-4.740916,-3.3862271
587371,-4.4696836,-4.204029
587372,-4.583469,-4.215363
587373,-4.792834,-3.6925423
587374,-3.0547462,-4.57432
587375,-3.471389,-4.957273
587376,-3.8034923,-4.139833
587377,-3.99925,-4.321856
587378,-3.8610094,-4.886602
587379,-4.270985,-4.387002
587380,-4.580378,-4.5605845
587381,-4.264091,-4.0703425
587382,-3.092085,-4.7495465
587383,-3.5784645,-3.9507306
587384,-4.620274,-4.1856427
587385,-4.040748,-4.233702
587386,-4.8086815,-3.58152
587387,-4.0259547,-4.4579353
587388,-4.043838,-4.548753
587389,-4.735139,-4.6909714
587390,-4.290382,-4.300145
587391,-4.7431536,-4.4970303
587392,-3.9577942,-4.697458
587393,-4.0959125,-4.3874564
587394,-3.9102,-4.3641815
587395,-3.1629643,-5.3086753
587396,-3.9938154,-4.4307284
587397,-4.202825,-4.8536835
587398,-3.9546788,-4.287626
587399,-4.581194,-3.4674573
587400,-3.9227927,-4.461901
587401,-2.9884348,-5.006884
587402,-4.19989,-4.217446
587403,-4.042054,-4.907994
